Script Execution Time: 45.46 seconds | Mappers: 11 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 19:44:34
Script Execution Time: 45.33 seconds | Mappers: 11 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 19:45:22
Script Execution Time: 37.38 seconds | Mappers: 11 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 19:46:02
Script Execution Time: 39.30 seconds | Mappers: 11 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 19:46:44
Script Execution Time: 39.33 seconds | Mappers: 11 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 19:47:25
Script Execution Time: 39.38 seconds | Mappers: 11 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 19:48:07
Script Execution Time: 40.36 seconds | Mappers: 11 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 19:48:50
Script Execution Time: 40.47 seconds | Mappers: 11 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 19:49:33
Script Execution Time: 41.40 seconds | Mappers: 11 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 19:50:16
Script Execution Time: 42.43 seconds | Mappers: 11 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 19:51:01
Script Execution Time: 40.50 seconds | Mappers: 11 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 19:51:44
Script Execution Time: 41.43 seconds | Mappers: 11 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 19:52:28
Script Execution Time: 39.28 seconds | Mappers: 11 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 19:53:09
Script Execution Time: 40.39 seconds | Mappers: 11 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 19:53:52
Script Execution Time: 44.32 seconds | Mappers: 11 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 19:54:39
Script Execution Time: 41.26 seconds | Mappers: 11 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 19:55:22
Script Execution Time: 43.42 seconds | Mappers: 11 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 19:56:08
Script Execution Time: 44.42 seconds | Mappers: 11 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 19:56:55
Script Execution Time: 63.40 seconds | Mappers: 12 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 19:58:01
Script Execution Time: 49.66 seconds | Mappers: 12 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 19:58:53
