Script Execution Time: 51.41 seconds | Mappers: 9 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 13:16:23
Script Execution Time: 45.19 seconds | Mappers: 9 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 13:17:11
Script Execution Time: 45.55 seconds | Mappers: 9 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 13:17:58
Script Execution Time: 38.33 seconds | Mappers: 9 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 13:18:39
Script Execution Time: 39.31 seconds | Mappers: 9 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 13:19:21
Script Execution Time: 40.34 seconds | Mappers: 9 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 13:20:04
Script Execution Time: 39.40 seconds | Mappers: 9 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 13:20:45
Script Execution Time: 40.32 seconds | Mappers: 9 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 13:21:28
Script Execution Time: 41.42 seconds | Mappers: 9 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 13:22:12
Script Execution Time: 43.42 seconds | Mappers: 9 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 13:22:58
Script Execution Time: 43.27 seconds | Mappers: 9 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 13:23:43
Script Execution Time: 40.44 seconds | Mappers: 9 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 13:24:26
Script Execution Time: 41.31 seconds | Mappers: 9 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 13:25:10
Script Execution Time: 41.45 seconds | Mappers: 9 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 13:25:54
Script Execution Time: 41.18 seconds | Mappers: 9 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 13:26:37
Script Execution Time: 45.45 seconds | Mappers: 9 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 13:27:25
Script Execution Time: 44.39 seconds | Mappers: 9 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 13:28:12
Script Execution Time: 44.48 seconds | Mappers: 9 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 13:28:58
Script Execution Time: 44.46 seconds | Mappers: 9 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 13:29:45
Script Execution Time: 65.59 seconds | Mappers: 10 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 13:30:53
Script Execution Time: 53.33 seconds | Mappers: 10 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 13:31:49
Script Execution Time: 43.31 seconds | Mappers: 10 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 13:32:35
Script Execution Time: 42.39 seconds | Mappers: 10 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 13:33:19
Script Execution Time: 39.34 seconds | Mappers: 10 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 13:34:01
Script Execution Time: 39.23 seconds | Mappers: 10 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 13:34:43
Script Execution Time: 40.36 seconds | Mappers: 10 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 13:35:26
Script Execution Time: 39.42 seconds | Mappers: 10 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 13:36:07
Script Execution Time: 40.42 seconds | Mappers: 10 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 13:36:50
Script Execution Time: 40.51 seconds | Mappers: 10 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 13:37:33
Script Execution Time: 42.39 seconds | Mappers: 10 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 13:38:18
Script Execution Time: 42.30 seconds | Mappers: 10 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 13:39:02
Script Execution Time: 41.41 seconds | Mappers: 10 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 13:39:46
Script Execution Time: 41.48 seconds | Mappers: 10 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 13:40:30
Script Execution Time: 40.38 seconds | Mappers: 10 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 13:41:13
Script Execution Time: 44.25 seconds | Mappers: 10 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 13:42:00
Script Execution Time: 43.32 seconds | Mappers: 10 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 13:42:45
Script Execution Time: 43.59 seconds | Mappers: 10 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 13:43:31
Script Execution Time: 44.33 seconds | Mappers: 10 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 13:44:18
Script Execution Time: 43.38 seconds | Mappers: 10 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 13:45:04
Script Execution Time: 62.67 seconds | Mappers: 11 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 13:46:09
Script Execution Time: 51.40 seconds | Mappers: 11 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 13:47:03
Script Execution Time: 43.29 seconds | Mappers: 11 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 13:47:48
Script Execution Time: 42.38 seconds | Mappers: 11 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 13:48:33
