Script Execution Time: 160.97 seconds | Mappers: 9 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 19:12:19
Script Execution Time: 159.88 seconds | Mappers: 9 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 19:15:01
Script Execution Time: 149.69 seconds | Mappers: 9 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 19:17:33
Script Execution Time: 158.01 seconds | Mappers: 9 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 19:20:13
Script Execution Time: 401.47 seconds | Mappers: 10 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 19:26:57
Script Execution Time: 302.41 seconds | Mappers: 10 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 19:32:02
Script Execution Time: 219.02 seconds | Mappers: 10 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 19:35:44
Script Execution Time: 217.93 seconds | Mappers: 10 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 19:39:24
Script Execution Time: 171.04 seconds | Mappers: 10 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 19:42:17
Script Execution Time: 179.00 seconds | Mappers: 10 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 19:45:19
Script Execution Time: 167.11 seconds | Mappers: 10 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 19:48:08
Script Execution Time: 176.89 seconds | Mappers: 10 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 19:51:08
Script Execution Time: 155.90 seconds | Mappers: 10 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 19:53:46
Script Execution Time: 158.85 seconds | Mappers: 10 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 19:56:27
Script Execution Time: 187.03 seconds | Mappers: 10 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 19:59:36
Script Execution Time: 181.29 seconds | Mappers: 10 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 20:02:40
Script Execution Time: 145.89 seconds | Mappers: 10 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 20:05:08
Script Execution Time: 159.94 seconds | Mappers: 10 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 20:07:51
Script Execution Time: 153.87 seconds | Mappers: 10 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 20:10:27
Script Execution Time: 158.87 seconds | Mappers: 10 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 20:13:08
Script Execution Time: 157.90 seconds | Mappers: 10 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 20:15:48
Script Execution Time: 153.89 seconds | Mappers: 10 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 20:18:25
Script Execution Time: 150.72 seconds | Mappers: 10 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 20:20:58
Script Execution Time: 157.07 seconds | Mappers: 10 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 20:23:37
Script Execution Time: 406.67 seconds | Mappers: 11 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 20:30:26
Script Execution Time: 288.36 seconds | Mappers: 11 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 20:35:17
Script Execution Time: 206.35 seconds | Mappers: 11 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 20:38:46
Script Execution Time: 213.02 seconds | Mappers: 11 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 20:42:21
Script Execution Time: 167.94 seconds | Mappers: 11 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 20:45:12
Script Execution Time: 174.00 seconds | Mappers: 11 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 20:48:08
Script Execution Time: 160.82 seconds | Mappers: 11 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 20:50:51
Script Execution Time: 169.84 seconds | Mappers: 11 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 20:53:43
Script Execution Time: 147.87 seconds | Mappers: 11 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 20:56:14
Script Execution Time: 149.90 seconds | Mappers: 11 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 20:58:46
Script Execution Time: 166.96 seconds | Mappers: 11 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 21:01:35
Script Execution Time: 174.02 seconds | Mappers: 11 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 21:04:31
Script Execution Time: 140.12 seconds | Mappers: 11 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 21:06:54
Script Execution Time: 153.73 seconds | Mappers: 11 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 21:09:30
Script Execution Time: 144.89 seconds | Mappers: 11 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 21:11:57
